python-idna 2.8-3
python-importlib-metadata 1.4.0-1
python-jsonschema 3.2.0-1
python-keras-applications 1.0.8-3
python-keras-preprocessing 1.1.0-3
python-lockfile 0.12.2-6
python-lxml 4.4.2-1
python-more-itertools 8.1.0-1
python-msgpack 0.6.2-3
python-numpy 1.18.1-1
python-opt_einsum 3.1.0-1
python-ordered-set 3.1.1-1
python-packaging 20.0-1
python-paramiko 2.7.1-1
python-pep517 0.6.0-3
python-pillow 6.2.1-1
python-ply 3.11-4
python-progress 1.5-3
python-protobuf 3.11.2-1
python-psutil 5.6.7-1
python-pyasn1 0.4.8-1
python-pycparser 2.19-3
python-pyinotify 0.9.6-6
python-pynacl 1.3.0-3
python-pyparsing 2.4.6-1
python-pyrsistent 0.15.7-1
python-pytoml 0.1.21-3
python-requests 2.22.0-3
python-retrying 1.3.3-6
python-setuptools 1:44.0.0-1
python-six 1.14.0-1
python-tensorflow-estimator 2.1.0-1
python-tensorflow-opt 2.1.0-3
python-termcolor 1.1.0-8
python-texttable 1.6.2-3
python-urllib3 1.25.8-1
python-webencodings 0.5.1-4
python-websocket-client 0.57.0-1
python-wrapt 1.11.2-3
python-xlib 0.26-2
python-yaml 5.3-1
python-zipp 1.0.0-1
python2 2.7.17-1
python2-appdirs 1.4.3-5
python2-asn1crypto 1.3.0-1
python2-attrs 19.3.0-3
python2-automat 0.8.0-3
python2-backports 1.0-2
python2-cachecontrol 0.12.6-1
python2-cairo 1.18.2-4
python2-cffi 1.13.2-2
python2-chardet 3.0.4-4
python2-click 7.0-3
python2-colorama 0.4.3-1
python2-configparser 4.0.2-1
python2-constantly 15.1.0-5
python2-contextlib2 0.6.0-3
python2-cryptography 2.8-1
python2-distlib 0.3.0-1
python2-distro 1.4.0-3
python2-enum34 1.1.6-2
python2-gobject2 2.28.7-4
python2-html5lib 1.0.1-7
python2-hyperlink 19.0.0-3
python2-idna 2.8-3
python2-importlib-metadata 1.4.0-1
